"BALANCE","BALANCE_FREQUENCY","PURCHASES","ONEOFF_PURCHASES","INSTALLMENTS_PURCHASES","CASH_ADVANCE","PURCHASES_FREQUENCY","ONEOFF_PURCHASES_FREQUENCY","PURCHASES_INSTALLMENTS_FREQUENCY","CASH_ADVANCE_FREQUENCY","CASH_ADVANCE_TRX","PURCHASES_TRX","CREDIT_LIMIT","PAYMENTS","MINIMUM_PAYMENTS","PRC_FULL_PAYMENT","Cluster"
40.900749,0.818182,95.4,0,95.4,0,0.166667,0,0.083333,0,0,2,1000,201.802084,139.509787,0,1
817.714335,1,16,16,0,0,0.083333,0.083333,0,0,0,1,1200,678.334763,244.791237,0,1
1823.652743,1,436.2,0,436.2,0,1,0,1,0,0,12,2300,679.065082,532.03399,0,2
1014.926473,1,861.49,661.49,200,0,0.333333,0.083333,0.25,0,0,5,7000,688.278568,311.963409,0,2
2772.772734,1,0,0,0,346.81139,0,0,0,0.083333,1,0,3000,805.647974,989.962866,0,3
169.781679,1,399.6,0,399.6,0,1,0,1,0,0,12,3000,215.306142,163.005536,0,2
1615.96724,1,102,102,0,244.840485,0.166667,0.166667,0,0.25,5,2,1700,890.178845,971.183209,0,3
125.694817,1,233.28,0,233.28,0,1,0,1,0,0,12,1000,207.773715,164.748819,0,2
22.06349,1,100,0,100,0,0.416667,0,0.416667,0,0,5,6900,160.767773,159.684442,0,1
1656.350781,1,0,0,0,99.264367,0,0,0,0.083333,1,0,1800,351.500199,634.569311,0,1
1360.742377,1,0,0,0,1481.587093,0,0,0,0.083333,1,0,1500,378.294227,321.354137,0,3
863.809833,1,507.5,507.5,0,695.097159,0.166667,0.166667,0,0.083333,2,3,4000,587.866451,286.448719,0.083333,1
1565.681099,1,0,0,0,321.359135,0,0,0,0.25,3,0,3500,691.825279,581.481917,0,3
1555.793701,1,66.2,66.2,0,0,0.083333,0.083333,0,0,0,1,1600,338.083661,837.215674,0,1
1758.059987,1,412.33,325.21,87.12,0,0.583333,0.333333,0.166667,0,0,11,1800,777.451648,897.905444,0,2
1576.305029,1,0,0,0,382.908547,0,0,0,0.416667,6,0,2500,540.022225,352.883804,0,3
578.809679,1,320,0,320,0,0.75,0,0.666667,0,0,8,1500,1438.910569,190.186542,0,2
17.357563,0.909091,244.85,40.21,204.64,0,0.666667,0.166667,0.583333,0,0,13,5000,357.802082,121.523416,0.181818,2
4037.305658,1,45,45,0,104.238064,0.083333,0.083333,0,0.083333,1,1,4500,1073.844885,968.941265,0,3
1321.47608,1,45.65,45.65,0,495.657934,0.083333,0.083333,0,0.083333,1,1,1800,440.840439,312.560636,0,1
2441.542991,1,808,808,0,959.857263,0.25,0.25,0,0.333333,6,4,4000,532.741699,1026.976,0,3
408.656365,1,941.64,0,941.64,0,1,0,1,0,0,12,2500,1097.78942,176.610605,0.083333,2
1246.624558,1,423.7,177.64,246.06,412.399058,0.666667,0.166667,0.5,0.083333,2,10,2000,577.050373,498.365419,0,2
2662.629852,1,0,0,0,509.023801,0,0,0,0.333333,4,0,3000,932.418855,709.207016,0,3
4245.855092,1,1957.3,1077.3,880,0,0.833333,0.166667,0.583333,0,0,19,5000,1004.35474,1086.428906,0,2
24.28497,0.636364,250.6,0,250.6,0,0.583333,0,0.5,0,0,7,3000,319.762903,173.632006,0,1
231.108995,1,440,0,440,0,0.916667,0,0.916667,0,0,22,4000,554.116542,185.091037,0,2
706.132889,1,897.86,714.52,183.34,586.268966,0.916667,0.333333,0.916667,0.25,3,18,1200,972.358048,184.524376,0,2
947.13081,1,197.06,148.66,48.4,0,0.333333,0.25,0.166667,0,0,5,1000,492.200419,509.384182,0,1
764.042156,0.818182,0,0,0,1307.102516,0,0,0,0.166667,3,0,7500,1566.806897,172.959728,0,3
3057.400553,1,1025,1025,0,0,0.083333,0.083333,0,0,0,2,7500,698.854095,819.682666,0,2
1046.37041,1,295,295,0,93.579809,0.083333,0.083333,0,0.083333,1,2,1200,439.407082,362.838185,0,1
2737.367678,1,0,0,0,429.691164,0,0,0,0.416667,5,0,3000,778.827993,721.798576,0,3
871.568977,1,648.22,115,533.22,0,1,0.083333,1,0,0,27,1200,1110.886425,208.298424,0,2
1610.040203,1,557.19,525.64,31.55,0,0.25,0.083333,0.166667,0,0,5,4000,422.711848,616.005839,0,2
1608.451822,1,0,0,0,205.737165,0,0,0,0.166667,2,0,1800,470.565984,408.799147,0,3
1706.014379,1,147.78,0,147.78,1657.090283,0.166667,0,0.166667,0.25,4,2,6000,1186.062765,374.595505,0,3
874.583247,1,516.54,159.07,357.47,0,1,0.333333,0.916667,0,0,30,900,579.749308,693.894717,0,2
966.251742,1,311.45,311.45,0,955.959749,0.333333,0.333333,0,0.083333,1,15,1500,277.522439,286.299328,0,1
38.615644,0.727273,280.4,280.4,0,0,0.25,0.25,0,0,0,3,6150,254.392984,55.79974,0.090909,1
566.546048,0.909091,405.75,313.75,92,1044.651618,0.5,0.166667,0.416667,0.333333,6,12,2000,1249.835142,313.052687,0,3
75.647479,0.727273,540,0,540,0,0.25,0,0.166667,0,0,3,4000,548.967281,48.659935,0,1
28.461629,1,100,100,0,0,0.083333,0.083333,0,0,0,1,4000,125.769169,104.857518,0,1
1070.999446,1,990.7,482,508.7,0,0.75,0.25,0.583333,0,0,13,1400,505.317328,438.324017,0,2
2229.857287,1,45.65,45.65,0,0,0.083333,0.083333,0,0,0,1,2500,542.7463,628.211031,0,1
1874.716289,1,301.1,83,218.1,0,0.583333,0.166667,0.333333,0,0,10,1950,586.974046,1089.040271,0,2
6.390383,1,79.66,0,79.66,0,1,0,1,0,0,12,1500,75.896288,75.967742,0,2
19.508047,1,193.14,0,193.14,0,0.416667,0,0.416667,0,0,5,2000,220.46377,71.965063,0.25,1
3905.365959,1,150.8,150.8,0,1659.19931,0.166667,0.166667,0,0.416667,5,2,7500,990.524408,989.783286,0,3
1873.084577,1,126.57,126.57,0,181.139378,0.25,0.25,0,0.083333,1,4,2100,483.557464,524.426392,0,3
2420.761135,1,0,0,0,567.233798,0,0,0,0.083333,2,0,3000,871.713321,609.206784,0,3
927.041961,1,0,0,0,402.974164,0,0,0,0.333333,5,0,1000,719.974244,339.553093,0,3
40.089221,1,225,0,225,0,1,0,1,0,0,12,1500,325.578502,286.122587,0.166667,2
850.630114,1,0.05,0.05,0,1700.634586,0.083333,0.083333,0,0.333333,7,1,1000,1084.281127,367.409536,0,3
2669.160638,1,0,0,0,142.141325,0,0,0,0.166667,2,0,3000,642.777061,1122.076137,0,3
907.982017,1,216.94,216.94,0,1011.997944,0.166667,0.166667,0,0.166667,5,3,3200,222.02316,300.210049,0,3
1254.6691,1,361.73,361.73,0,198.686744,0.166667,0.166667,0,0.083333,1,2,1500,535.606816,432.68808,0,1
1543.287931,1,0,0,0,36.481832,0,0,0,0.083333,1,0,1800,548.589391,529.340488,0,1
601.92037,1,983.77,603.77,380,0,0.666667,0.416667,0.25,0,0,15,2400,389.411161,219.465695,0,2
1261.05733,1,0,0,0,474.429843,0,0,0,0.25,3,0,1500,866.865018,354.381003,0,3
241.223955,0.909091,180.91,180.91,0,0,0.166667,0.166667,0,0,0,6,1400,802.858576,220.455533,0,1
1528.571561,1,0,0,0,172.931118,0,0,0,0.166667,2,0,1600,353.582373,559.030296,0,3
566.147105,1,0,0,0,187.572355,0,0,0,0.083333,1,0,2000,1177.661577,190.365154,0,1
1526.506915,1,46.67,46.67,0,0,0.083333,0.083333,0,0,0,1,1800,338.413344,642.547142,0,1
497.908027,1,245.39,0,245.39,0,0.583333,0,0.5,0,0,7,4000,328.796655,165.308304,0,1
681.95925,1,98,98,0,0,0.166667,0.166667,0,0,0,2,4000,192.369983,221.375942,0,1
201.3504,1,600,0,600,0,0.5,0,0.416667,0,0,6,1000,249.066308,184.776562,0,2
2259.431829,1,780.64,199.65,580.99,1227.555485,1,0.166667,0.833333,0.333333,6,22,3500,663.553502,483.836254,0,2
1874.843394,1,0,0,0,120.178123,0,0,0,0.083333,1,0,2100,444.783009,671.420908,0,3
1452.437463,1,0,0,0,114.918715,0,0,0,0.25,3,0,1500,331.670616,479.771774,0,3
969.294446,1,0,0,0,340.249539,0,0,0,0.083333,1,0,1200,591.853821,204.676682,0,1
1036.595935,1,0,0,0,193.738137,0,0,0,0.083333,1,0,1200,274.653536,327.072615,0,1
395.052994,1,1239.46,752.28,487.18,0,0.666667,0.416667,0.416667,0,0,14,1500,401.217047,177.766827,0,2
1715.459275,1,96.75,34.65,62.1,19.141227,0.333333,0.083333,0.25,0.083333,1,7,1800,452.225512,411.612521,0,1
1122.603377,1,883.73,457.62,426.11,0,0.833333,0.333333,0.75,0,0,26,3000,632.062443,568.410749,0,2
869.001444,1,0,0,0,278.591282,0,0,0,0.083333,1,0,1200,541.101815,286.374289,0,1
1481.43247,1,0,0,0,149.36039,0,0,0,0.083333,1,0,1800,586.426259,494.954634,0,1
1135.53683,1,50.98,0,50.98,0,0.333333,0,0.333333,0,0,4,1200,320.592941,385.347014,0,1
2061.27937,1,0,0,0,554.11523,0,0,0,0.25,3,0,4500,552.713988,585.776445,0,3
257.997181,1,1020.47,185,835.47,0,0.916667,0.083333,0.916667,0,0,27,6500,1099.15757,163.155119,0,2
1117.635883,1,0,0,0,97.200877,0,0,0,0.25,3,0,1200,308.089987,361.250401,0,3
1112.070216,1,179.24,59,120.24,0,0.416667,0.083333,0.333333,0,0,7,4000,217.546584,368.652894,0,1
2569.379868,1,972.65,162.95,809.7,1390.367155,0.583333,0.166667,0.5,0.166667,5,15,5500,807.047622,590.361005,0,2
181.463092,1,133.39,133.39,0,219.143859,0.25,0.25,0,0.166667,2,3,2500,168.425788,169.473399,0,1
542.218074,1,0,0,0,1074.741949,0,0,0,0.166667,2,0,1500,1328.855136,189.52525,0,3
1095.379426,1,0,0,0,282.895246,0,0,0,0.25,3,0,1200,432.048813,256.494357,0,3
2689.586312,1,0,0,0,2224.68646,0,0,0,0.083333,1,0,7000,809.880619,663.360789,0,3
1946.447038,1,411.38,411.38,0,99.078081,0.25,0.25,0,0.083333,1,5,2500,1403.266638,513.547978,0,3
917.732846,1,18.41,0,18.41,0,0.083333,0,0.083333,0,0,1,1000,1407.291593,424.623595,0,1
724.261595,1,625.46,198.4,427.06,0,0.583333,0.166667,0.5,0,0,10,7500,721.081023,234.277687,0,2
2113.098241,1,619.93,0,619.93,1958.668173,1,0,0.916667,0.083333,2,24,4000,529.829894,508.775831,0,2
9.581344,1,118.6,70,48.6,0,1,0.083333,0.916667,0,0,25,3300,117.780082,56.500841,0.1,2
1803.955439,1,1044.43,801.35,243.08,103.174612,0.666667,0.416667,0.333333,0.083333,1,23,5000,1068.805913,518.001095,0,2
62.32157,0.636364,601.35,468,133.35,0,0.416667,0.333333,0.333333,0,0,10,7000,704.075312,161.420141,0.25,2
1062.752143,1,0,0,0,496.76383,0,0,0,0.166667,3,0,1200,720.3446,369.566083,0,3
8.555864,1,0,0,0,75.612993,0,0,0,0.083333,1,0,5000,74.218884,96.13968,0,1
879.190921,1,45.65,45.65,0,1246.223848,0.083333,0.083333,0,0.166667,2,1,1200,1589.980022,439.870516,0.1,3
2892.138807,1,0,0,0,129.381701,0,0,0,0.333333,5,0,3000,666.956678,1066.060177,0,3
763.327047,1,579.28,300,279.28,727.52546,0.5,0.166667,0.416667,0.083333,1,13,1200,635.871404,220.685812,0,2
1495.801569,1,420.03,320.03,100,0,1,0.25,1,0,0,16,6600,1283.885302,389.191998,0,2
1167.045536,1,294.13,65,229.13,0,0.916667,0.083333,0.833333,0,0,12,1500,686.376349,266.50397,0,2
3386.99251,1,171.92,171.92,0,0,0.416667,0.416667,0,0,0,5,4500,907.867126,912.269822,0,3
838.616485,1,375.57,375.57,0,99.587515,0.25,0.25,0,0.083333,1,3,6000,779.057364,179.42685,0,1
1024.761905,1,77.99,77.99,0,0,0.166667,0.166667,0,0,0,2,1200,555.23373,303.743033,0,1
15.492415,1,65,65,0,0,0.083333,0.083333,0,0,0,1,3000,19.221233,67.643963,0,1
1855.212121,1,32.22,32.22,0,37.743145,0.083333,0.083333,0,0.083333,1,1,2000,349.584645,695.503633,0,3
660.397749,1,776.89,698.99,77.9,0,0.166667,0.083333,0.083333,0,0,2,1500,487.294072,215.007957,0,2
2571.284657,1,0,0,0,259.611243,0,0,0,0.416667,7,0,2750,750.534962,883.249328,0,3
56.720267,0.818182,260,260,0,0,0.083333,0.083333,0,0,0,1,5500,278.975102,92.072121,0,1
1121.068043,1,0,0,0,56.461201,0,0,0,0.166667,3,0,1200,236.09244,351.184105,0,1
2027.896903,1,933.5,933.5,0,1160.28334,0.083333,0.083333,0,0.083333,2,1,3000,393.417404,462.153221,0,3
1822.43199,1,177.23,70.26,106.97,0,0.083333,0.083333,0.083333,0,0,3,2500,1136.340121,428.353499,0,1
644.530629,1,268.68,0,268.68,0,1,0,1,0,0,12,1200,1557.68946,438.318992,0.166667,2
1716.622291,1,455.76,36,419.76,0,1,0.083333,1,0,0,13,1700,881.425823,1066.801936,0,2
155.924331,0.818182,517.14,460.57,56.57,0,0.416667,0.25,0.166667,0,0,7,3000,369.733274,131.403254,0,2
1748.546186,1,74.98,74.98,0,216.032736,0.166667,0.166667,0,0.25,5,2,1800,650.440749,572.683934,0,3
1399.729932,1,0,0,0,1967.782148,0,0,0,0.333333,5,0,3000,712.803089,316.461916,0,3
1011.110679,1,186.11,61.11,125,0,0.333333,0.083333,0.25,0,0,5,3000,634.853367,227.160721,0,1
1358.890643,1,89.9,28,61.9,0,0.333333,0.083333,0.166667,0,0,4,7000,323.344372,409.65366,0,1
1892.439622,1,86.7,86.7,0,92.435934,0.166667,0.166667,0,0.083333,2,2,2000,534.092827,1069.925154,0,3
920.968431,1,977.38,615.99,361.39,0,0.833333,0.25,0.833333,0,0,18,3350,549.396517,266.850585,0,2
1375.845223,1,0,0,0,112.680045,0,0,0,0.25,3,0,1500,306.606914,736.789619,0,3
1300.593766,1,0,0,0,513.664928,0,0,0,0.166667,3,0,3000,386.660071,396.635432,0,3
1304.357015,1,1488.8,987.68,501.12,858.516418,0.833333,0.25,0.583333,0.166667,2,21,2000,612.674919,341.524735,0,2
161.198861,1,536.68,103,433.68,0,1,0.083333,1,0,0,13,1000,280.826685,165.304588,0.090909,2
825.977042,1,0,0,0,904.460261,0,0,0,0.166667,4,0,2500,522.917982,170.397605,0,3
910.072514,1,18.05,0,18.05,19.118837,0.083333,0,0.083333,0.083333,1,1,1000,233.886707,230.806229,0,1
993.533549,1,851.68,0,851.68,1515.648089,0.833333,0,0.75,0.083333,4,12,1500,1660.242557,512.342306,0,2
3150.679884,1,0,0,0,365.816939,0,0,0,0.416667,5,0,3500,819.246481,805.478131,0,3
1076.029456,1,0,0,0,59.57182,0,0,0,0.083333,2,0,1200,239.407898,363.517186,0,1
53.339006,1,315.48,0,315.48,0,1,0,1,0,0,12,1000,193.699669,162.729509,0,2
1917.203534,1,0,0,0,84.438672,0,0,0,0.083333,1,0,2000,468.617347,899.048237,0,3
361.588846,1,312.69,312.69,0,370.511697,0.25,0.25,0,0.166667,2,5,7500,867.628724,167.467416,0,1
1701.20332,1,302,0,302,796.570678,0.5,0,0.416667,0.083333,1,6,2000,784.873315,567.761469,0,1
993.662006,1,348.88,348.88,0,0,0.333333,0.333333,0,0,0,4,1200,335.62347,255.439979,0,1
1068.434064,1,27,0,27,0,0.083333,0,0.083333,0,0,1,1200,219.692369,310.32899,0,1
1104.960744,1,45.65,45.65,0,0,0.083333,0.083333,0,0,0,1,1200,293.890715,448.973668,0,1
330.273411,1,53.8,53.8,0,0,0.25,0.25,0,0,0,6,2500,429.112894,171.6492,0,1
1462.280124,1,516,0,516,0,1,0,1,0,0,12,1500,752.367432,1009.381645,0,2
1084.291919,1,270,270,0,0,0.25,0.25,0,0,0,3,1200,371.168672,229.778025,0,1
192.037218,0.909091,1000,1000,0,0,0.083333,0.083333,0,0,0,1,1500,1128.431348,157.31769,0.090909,2
1493.440295,1,0,0,0,77.328556,0,0,0,0.25,3,0,1600,455.872747,430.722903,0,3
1905.101343,1,455.72,0,455.72,0,1,0,1,0,0,22,3000,576.311637,701.949213,0,2
2437.73951,1,1093.93,695.29,398.64,822.700458,1,0.25,1,0.166667,4,15,2900,556.213673,1049.416303,0,2
2802.369018,1,829.15,0,829.15,476.329395,0.416667,0,0.333333,0.083333,1,5,3000,1393.564911,634.196389,0,2
560.414016,1,99,99,0,909.10915,0.083333,0.083333,0,0.25,3,1,1000,407.819493,141.935936,0,3
114.38833,1,182,0,182,0,0.333333,0,0.333333,0,0,4,1500,169.708108,168.97377,0.083333,1
1055.53207,1,170,0,170,0,0.25,0,0.166667,0,0,3,1200,229.301004,299.351881,0,1
195.804466,0.909091,0,0,0,477.378737,0,0,0,0.083333,1,0,1950,550.825801,140.447701,0.1,1
9.503968,1,96.62,0,96.62,0,1,0,1,0,0,19,4500,1086.932525,92.217936,0.25,2
2285.068731,1,0,0,0,1173.310874,0,0,0,0.166667,5,0,2500,381.672065,1003.265207,0,3
2928.756699,1,160.92,0,160.92,319.931964,1,0,1,0.333333,5,12,3000,1142.847203,1098.479834,0,3
76.483078,0.727273,69,69,0,0,0.083333,0.083333,0,0,0,1,4500,462.226271,100.023175,0,1
1083.07662,1,0,0,0,91.903204,0,0,0,0.083333,1,0,1200,309.300185,476.830891,0,1
1958.327414,1,0,0,0,39.461591,0,0,0,0.083333,1,0,2100,404.070285,999.050377,0,3
